FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
2,2,1,1,2.4,3,2.75,2.3,2.9,2.8,2.2,3.2,2.8,2.4,3,2.7,2.5,2.875,2.625,2.5,2.9,2.62
0,0,0,0,1.85,3,4.15,1.85,3.1,3.6,1.73,3.2,4.33,1.75,3.2,4.333,1.8,3.1,4,1.9,3,3.75
3,1,2,0,1.9,3.05,3.8,1.85,3.1,3.6,1.83,3,4,1.85,3.1,4,1.909,3,3.75,1.9,2.87,4
1,2,0,2,1.75,3.2,4.32,1.8,3.1,3.8,1.73,3.2,4.33,1.667,3.2,4.75,1.727,3.2,4.333,1.72,3.1,4.5
0,0,0,0,1.85,3,4.15,1.9,3,3.6,1.8,3.2,4,1.85,2.9,4.2,1.833,3,4,1.9,2.87,4
2,1,0,0,3.4,3,2.05,3,2.9,2.2,3.2,2.8,2.2,3.2,3,2.15,3.1,2.875,2.2,3.2,2.8,2.2
1,1,1,0,2.25,2.9,3.05,2.2,2.9,3,2.2,3,3,2.2,2.875,3.2,2.3,2.875,2.9,2.2,2.8,3.2
1,1,1,0,1.4,3.8,7.2,1.4,3.7,6.4,1.4,3.75,7,1.444,3.6,7,1.4,3.75,7,1.44,3.6,6.5
1,0,0,0,2.3,2.95,2.92,2.2,2.9,3,2.2,3,3,2.25,2.9,3.1,2.2,3,3,2.25,2.87,3
0,0,0,0,2.25,2.9,3.05,2.2,2.9,3,2.25,2.87,3,2.25,2.875,3.1,2.25,2.875,3,2.37,2.8,2.9
1,1,0,0,1.85,2.95,4.2,1.75,3.2,4,1.73,3.2,4.33,1.8,3,4.5,1.8,3,4.333,1.8,3,4.2
2,0,1,0,2.33,3.1,2.75,2.5,2.8,2.7,2.5,2.87,2.62,2.25,3,2.875,2.375,3.1,2.6,2.37,3.1,2.62
2,1,2,1,1.2,5,11.9,1.25,4.5,9,1.25,4.5,10,1.25,4.5,10,1.2,5,11,1.2,5,11
