FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
4,0,1,0,1.33,4,8,1.35,4.2,7.5,1.35,4.2,7.5,1.35,4,7,1.33,4,8,1.33,4,8,1.33,4,8,1.45,2.45,1.85,1.6,-1.5,2.12,1.72,-1.5,1.8,2.05,-1.25
1,2,1,1,1.83,3.4,3.5,1.8,3.4,3.8,1.85,3.4,3.6,1.8,3.1,3.8,1.8,3.4,3.6,1.83,3.3,3.6,1.8,3.4,3.6,1.6,2.1,1.85,1.75,-0.5,1.88,1.96,-0.5,1.875,1.975,-0.5
1,0,0,0,2,3.2,3.2,1.9,3.4,3.4,2,3.2,3.35,2,3.1,3.2,1.91,3.4,3.25,2,3.2,3.2,1.9,3.3,3.35,1.65,2,2,1.64,-0.5,2.06,1.78,-0.5,2.1,1.75,-0.5
1,3,1,2,3.5,3.4,1.83,3.2,3.35,2,3.75,3.3,1.85,3.6,3.1,1.85,3.5,3.4,1.83,3.4,3.25,1.91,3.75,3.3,1.8,1.55,2.2,1.76,1.85,0.5,1.98,1.86,0.5,1.9,1.95,0.5
5,1,3,1,1.9,3.25,3.4,1.9,3.4,3.4,2,3.25,3.3,2,3.1,3.2,1.91,3.25,3.4,2,3.2,3.2,1.9,3.25,3.4,1.71,1.95,2,1.64,-0.5,2,1.84,-0.5,2.1,1.75,-0.5
0,3,0,0,1.72,3.4,4,1.7,3.5,4.2,1.75,3.3,4.2,1.75,3.2,4,1.67,3.25,4.5,1.7,3.4,4.2,1.65,3.4,4.5,1.55,2.2,1.75,1.85,-0.5,1.76,2.08,-0.5,1.75,2.1,-0.5
0,3,0,1,2.5,3.25,2.4,2.8,3.2,2.25,2.55,3.2,2.45,2.9,3,2.2,2.5,3.25,2.38,2.5,3.25,2.4,2.65,3.3,2.25,1.55,2.2,1.42,2.45,0.5,2.02,1.82,0,2.1,1.75,0
0,2,0,1,1.83,3.2,3.75,2,3.35,3.2,2,3.25,3.3,1.9,3.2,3.4,1.83,3.4,3.5,1.91,3.2,3.5,1.85,3.3,3.6,1.71,1.95,2,1.64,-0.5,2.02,1.82,-0.5,2,1.85,-0.5
1,0,1,0,1.25,4.5,10,1.25,5.25,8,1.26,4.65,9.5,1.22,4.8,9.5,1.2,5,11,1.25,5,8,1.2,5,11,1.45,2.45,1.69,1.74,-1.5,1.98,1.86,-1.75,1.925,1.925,-1.75
1,1,1,1,2,3.2,3.2,2,3.35,3.2,2,3.25,3.3,2,3.1,3.2,2,3.2,3.2,2,3.2,3.2,2,3.2,3.2,1.65,2,2,1.64,-0.5,1.92,1.92,-0.25,1.9,1.95,-0.25
