Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2020-10-1,Nurnberg,M'gladbach,1,2,A,0,1,A,21000,12,7,4,4,1,0,14,4,16,10,2,3,3,3,0,0,30,30,2.15,3,3.15,2.1,3,3.1,2.25,3.4,2.62,,,,2.1,3.2,3,2.1,3.2,3
D1,2020-10-1,Schalke 04,Munich 1860,1,0,H,1,0,H,60200,12,15,3,7,0,1,3,5,11,10,4,2,3,2,0,0,30,20,1.55,3.55,5.25,1.55,3.5,4.8,1.5,3.6,5.5,,,,1.62,3.25,5,1.57,3.5,5
D1,2020-10-1,St Pauli,Cottbus,4,0,H,1,0,H,16200,17,12,7,3,0,1,10,4,18,17,8,2,1,3,0,1,10,55,2.15,3.1,3.05,2.3,2.8,2.9,2.25,3.4,2.62,,,,2.2,3.2,2.8,2.25,3.2,2.75
D1,2021-10-1,Dortmund,Freiburg,0,2,A,0,1,A,68600,12,7,6,4,0,0,7,0,15,13,6,1,1,1,0,0,10,10,1.4,4,6.7,1.4,3.9,6,1.33,4,8,,,,1.36,4,7,1.36,3.75,8
D1,2021-10-1,Wolfsburg,Hamburg,0,1,A,0,0,D,19080,15,14,6,7,0,1,6,6,25,31,2,2,3,3,0,0,30,30,2.1,3.2,3.1,2.1,3,3.1,1.91,3.25,3.4,,,,2,3.2,3.2,2.1,3.2,3
D1,2027-10-1,Cottbus,Dortmund,0,2,A,0,0,D,21000,8,10,5,5,0,1,1,5,28,15,3,4,4,5,0,0,40,50,3.35,3.15,2,3.2,3.1,2,3.5,3.2,1.91,3.2,3.25,2,3.5,3.2,1.91,3.4,3.25,1.9
D1,2027-10-1,FC Koln,Bayern Munich,0,2,A,0,1,A,42000,10,12,4,5,0,1,1,6,15,13,2,0,2,1,0,0,20,10,4.05,3.3,1.76,3.6,3.2,1.8,4.33,3.4,1.67,4.75,3.25,1.67,4,3.4,1.73,4.33,3.4,1.66
D1,2027-10-1,Kaiserslautern,Schalke 04,0,0,D,0,0,D,40000,12,10,6,5,0,1,5,9,19,15,2,4,1,3,0,0,10,30,1.83,3.25,3.8,2,3.1,3.2,1.73,3.4,4,1.75,3.25,4,1.83,3.2,3.75,1.8,3.3,3.75
D1,2027-10-1,M'gladbach,Freiburg,2,2,D,1,1,D,25000,17,8,7,7,0,0,6,4,13,19,4,1,1,3,0,0,10,30,1.98,3.15,3.4,2.1,3,3.1,2,3.4,3,2,3.25,3.25,2,3.2,3.2,2,3.2,3.2
D1,2027-10-1,Munich 1860,Leverkusen,1,4,A,1,1,D,35000,11,9,6,5,1,0,0,8,16,13,0,0,2,3,0,1,20,55,3,3.1,2.15,3.2,3.1,2,3.2,3.2,2,3.3,3.2,1.95,3.2,3.2,2,3.2,3.2,2
D1,2027-10-1,Stuttgart,St Pauli,2,0,H,1,0,H,20000,16,8,7,3,2,0,2,5,18,11,2,2,1,2,0,1,10,45,1.55,3.45,5.5,1.55,3.5,4.8,1.5,3.4,6,1.5,3.5,6,1.5,3.6,5.5,1.57,3.5,5
